epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1451.29,0.98306,0.58169,1.0461,0.96247,0.95463,0.97418,0.71566,0.95527,0.49452,1.01351,0.0002236,0.0002236,0.0002236
18,1538.58,0.98256,0.57965,1.04101,0.94965,0.94707,0.9758,0.7188,0.95786,0.49853,1.01629,0.00022195,0.00022195,0.00022195
19,1622.56,0.97353,0.56282,1.03726,0.96266,0.9548,0.97629,0.71405,0.9667,0.49912,1.01412,0.0002203,0.0002203,0.0002203
20,1705.94,0.96363,0.55594,1.04089,0.95907,0.95059,0.97485,0.71664,0.95281,0.49505,1.01349,0.00021865,0.00021865,0.00021865
21,1790.06,0.96301,0.5429,1.03761,0.95741,0.95606,0.97628,0.71715,0.96277,0.49286,1.01463,0.000217,0.000217,0.000217
22,1873.67,0.96863,0.54021,1.0392,0.9685,0.95013,0.9762,0.71957,0.95264,0.48178,1.01308,0.00021535,0.00021535,0.00021535
23,1956.28,0.96595,0.53461,1.04141,0.96963,0.95258,0.9758,0.71919,0.94781,0.47671,1.0107,0.0002137,0.0002137,0.0002137
24,2040.15,0.96297,0.53152,1.03534,0.96516,0.95769,0.97728,0.71756,0.95205,0.47189,1.00895,0.00021205,0.00021205,0.00021205
25,2124.09,0.96012,0.5259,1.03832,0.95675,0.95371,0.974,0.71511,0.95385,0.48379,1.01445,0.0002104,0.0002104,0.0002104
26,2207.46,0.95726,0.52118,1.03632,0.96519,0.95803,0.9755,0.72567,0.9334,0.47244,1.01025,0.00020875,0.00020875,0.00020875
27,2291.98,0.96325,0.5138,1.03865,0.96928,0.95393,0.97603,0.72742,0.93444,0.46828,1.00999,0.0002071,0.0002071,0.0002071
28,2375.63,0.95361,0.50086,1.02913,0.9603,0.95293,0.97561,0.72546,0.92972,0.46713,1.00534,0.00020545,0.00020545,0.00020545
29,2460.42,0.95857,0.4995,1.03472,0.96793,0.95885,0.9774,0.72563,0.92702,0.46091,1.00643,0.0002038,0.0002038,0.0002038
30,2544.19,0.95955,0.50078,1.03539,0.95856,0.95754,0.97608,0.73084,0.92567,0.45843,1.00424,0.00020215,0.00020215,0.00020215
31,2626.77,0.94929,0.49447,1.02803,0.96063,0.95682,0.97488,0.72646,0.92843,0.46091,1.00583,0.0002005,0.0002005,0.0002005
32,2710.66,0.95742,0.48775,1.02968,0.95786,0.95598,0.97561,0.73114,0.9227,0.45166,1.00184,0.00019885,0.00019885,0.00019885
33,2795.18,0.95974,0.49197,1.03245,0.94802,0.93982,0.97185,0.72772,0.92419,0.46449,1.00718,0.0001972,0.0001972,0.0001972
34,2877.45,0.95062,0.4822,1.02993,0.96633,0.96061,0.97661,0.72847,0.92123,0.44886,1.00506,0.00019555,0.00019555,0.00019555
35,2964.2,0.96041,0.48366,1.03056,0.95865,0.95352,0.97274,0.72802,0.91463,0.4513,1.00514,0.0001939,0.0001939,0.0001939
36,3048.45,0.96285,0.48119,1.03707,0.94689,0.95507,0.97259,0.73134,0.9161,0.45056,1.00757,0.00019225,0.00019225,0.00019225
37,3132.07,0.96049,0.47742,1.03166,0.95373,0.95798,0.97405,0.73208,0.91668,0.45303,1.00466,0.0001906,0.0001906,0.0001906
38,3218.57,0.96229,0.47771,1.03581,0.96182,0.96343,0.9739,0.73413,0.91758,0.4455,1.00582,0.00018895,0.00018895,0.00018895
39,3302.42,0.96998,0.47867,1.03541,0.96559,0.95423,0.97408,0.73034,0.92267,0.44796,1.00663,0.0001873,0.0001873,0.0001873
40,3385.98,0.96666,0.47857,1.03911,0.96207,0.95997,0.97629,0.73288,0.92065,0.45076,1.00899,0.00018565,0.00018565,0.00018565
41,3469.52,0.96542,0.46833,1.04123,0.96792,0.95775,0.97568,0.73145,0.92121,0.44429,1.00648,0.000184,0.000184,0.000184
